Country Code;Country Name;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;1959;1958;1957;1956;1955;1954;1953;1952;1951;1950;1949;1948;1947;1946;1945;1944;1943;1942;1941;1940;1939;1938;1937;1936;1935;1934;1933;1932;1931;1930;1929;1928;1927;1926;1925;1924;1923;1922;1921;1920;1919;1918;1917;1916;1915;1914;1913;1912;1911;1910;1909;1908;1907;1906;1905;1904;1903;1902;1901;1900
NGA;NIGERIA;;81506;7015896;52309;1508700;185255;66;55000;13000;27877;31797;210000;4103;92553;8055;119977;107211;;42586;;580000;;0;11200;0;41;301500;120;1400;6000;;3000000;;;;;0;;;;;;;;;80000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIU;NIUE;;;;;;;;;;;702;;;;;297;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;4000;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MNP;NORTHERN MARIANA IS;;;;;;;;;;;200;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOR;NORWAY;;;;500;;;100;;;0;;;;1500;600;;;;;4000;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OMN;OMAN;;;;200;0;;;20000;;;;0;83;;;;;;;;;;;;;;;;;;;;;0;;;;6596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAK;PAKISTAN;;1698756;5050564;5401755;20397901;75080;366084;1652711;8230;12655663;13248;1268800;159918;1319983;258;2737394;213528;861484;1300000;1855000;840036;261609;12842168;205044;296;142400;1000000;;1000;12038;2012;64943;10000;2837;86223;3200;2246000;1022000;5566000;0;50200;4800000;;;;;1075;150000;;0;474427;;;;;0;;0;0;;0;0;;;0;;;;;0;10000;;;;;0;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
PLW;PALAU;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSE;PALESTINE (WEST BANK);;62571;1500;;500;;0;;;;;;;;;;;;;;;;;;;;;;;;;943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAN;PANAMA;;0;9448;4000;32941;4248;23837;129;7866;7000;22748;2415;26673;775;1000;895;7500;;;2624;;;50;42214;;;8732;;6000;;1000;81000;;;;;2000;;;;;4000;300;;44345;;;;2600;;1718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNG;PAPUA NEW GUINEA;;35000;200000;0;;7391;75300;162140;25999;17693;19600;621;20859;1596;5000;38000;9867;515500;1837;;152002;114240;90000;5000;0;;1000;4000;1000;0;;38000;;;40000;0;;;;;;;0;0;0;;;;;;;;;;2000;;;3200;;;;;;0;;;;;;;;;;;;;;7500;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRY;PARAGUAY;;186400;1495945;31945;0;212759;71612;125000;100000;52990;0;;15265;;0;42273;0;75077;;275000;;;65575;;15000;;45000;;;;;100000;85000;;;190000;;;;;;;;27000;;;;;7390;25000;;13400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PER;PERU;18000;280906;364683;839066;170357;276036;450012;1590617;18325;2505;2145043;1905350;119050;420558;50;500530;36370;611904;76722;0;101130;219145;1130000;330638;2307400;500;6025;28904;208546;4400;0;702700;85000;17271;39000;1100;22000;940;;;57174;0;1575000;330000;3367542;131820;420;50300;264356;0;;;0;;0;;0;;;;;0;;;200;;;0;0;;;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;
PHL;PHILIPPINES;1196447;25667070;12531446;11729947;5581507;13352484;8459896;2023092;8612817;213057;3263076;687761;1211212;3624958;6425002;3492943;9934299;471770;135309;3408697;3147727;4094420;2101704;2614553;8918873;2445653;4517505;4239732;1243351;1609593;4605206;1865326;1220700;1409167;2895045;601521;1891086;226229;2913306;5323;1305476;3450088;3263325;46511;1812747;1700;277904;137000;286000;58785;1225546;2000;0;;425000;0;;0;0;2000;101;;452;60000;0;0;0;;0;;;;;;0;;0;0;0;;0;;2500;0;;;;;;;;;;;;;0;;;;;;0;199;;;;;;0;;;;;
POL;POLAND;0;53;310;0;100700;232;1060;0;500;3600;600;;0;15000;0;0;1200;224500;;;0;;0;;0;;;0;;;;900;17874;;4500;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRT;PORTUGAL;54;3967;;;618;0;110;;240;136;0;150036;60;200;70;;;200;3050;;;;;0;;0;;;50;0;;2000;;900;;45220;;;;;;0;;;;;;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRI;PUERTO RICO;;;0;2271;;;;0;;;3500;2505;;9480;;0;0;;57315;98000;0;;600;;;2000;;;;0;;;;0;;4500;;;;0;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
REU;REUNION;;;;;;;;90;;157000;;;3100;;600;;;;;;;0;;;;6261;;4000;;;0;;;;7000;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ROU;ROMANIA;0;5400;7539;;12237;24;11090;4260;24783;57071;30528;601;8701;14803;63831;14106;13700;122380;727;5000;5406;200;;20850;700;;;;;;2000;0;;;;;;386300;;1000000;;;;;238755;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;0;;;;;;0;;0;;;;;;;;;;0;;;0;0;;;;0;;;;;;;;
RUS;RUSSIA;;337126;48999;14183;55671;;5235;21512;19774;9047;13720;1002406;409795;394027;99405;738471;291206;5038;234900;153418;800037;15013;1750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
RWA;RWANDA;;;11160;3608;5937;;11989;4500;2300;;540;1007016;22279;3000;164;895033;2951;;82106;;;;;214;;60000;21678;;;;420000;;;;;;2000;;1700000;;1900000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WSM;SAMOA;;;12703;;;5585;;;;0;0;;;0;;;;;;;;;;88000;195000;0;;;;;;2000;;;;;;;;;;;;;;;4;;95000;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STP;SAO TOME ET PRINCIPE;;;;;;;;;;;;;;;;;;;;;;;;;;1063;;;0;;;93000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAU;SAUDI ARABIA;;1021;0;0;85;10000;;;;67;430;13050;0;74;497;;;;;;;;;;;;;;;5000;;;0;;;;;;;;;;;;;;;;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEN;SENEGAL;;163306;57000;855220;102516;264000;23600;8125;;73022;1861;7769;463181;;0;95853;302709;;;3031;17500;5000;;;;;10000;0;0;6100;0;5000;1200000;;;950000;298;3715000;;;;;;;;1400000;;;2000;150;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
SRB;SERBIA;3000;3000;88234;;31930;3710;;12370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRB;SERBIA MONTENEGRO;;;;;;;;;36200;3790;;;2500;170;6082;71707;;;;;;;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SYC;SEYCHELLES;4435;3000;;;;;;;5461;;4830;;6800;;;;;1237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLE;SIERRA LEONE;0;2257;23009;0;239;1470;1746;4500;;15000;633;90;;3;0;3231;1770;2024;200953;;;;;;;;;;;3000;0;;;;;;;;;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGP;SINGAPORE;;;;;;;;;;;;205;;;2022;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SVK;SLOVAKIA;;0;0;;850;;;89;100;0;10554;0;0;0;0;36148;11667;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SVN;SLOVENIA;50000;;12000;;;;;1050;;0;605;0;;;;;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLB;SOLOMON IS;50000;15526;4836;0;17733;7000;0;2384;;;;425;1110;;;;380;0;;;;88500;0;;;;500;;150000;650;;;30000;;;6000;;1001;;0;;;;6000;;;200;0;1000;;;;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOM;SOMALIA;;247380;3032200;2800;4016200;1750;3352663;45699;492376;7719;306583;300;1191;6611;1575990;175;14564;1233044;5657;8500;17000;;;;;50000;53500;530000;7093;4815;;0;;30000;0;;;42671;;;230000;;;;;0;;;;0;700000;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZAF;SOUTH AFRICA;7185;2870;126350;206323;6000;20300;20353;39600;7160;58;15015174;1100;118568;43308;90857;24085;160;353;7530;304500;13000;15000;;0;6;;1320028;65310;850000;;500000;200;0;185;0;;0;1000;;;0;;;;;1000;0;;;;5000;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;
SSD;SOUTH SUDAN;;581003;157000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESP;SPAIN;0;600;641;17700;30;0;;4430;0;1;1700;201;50;751;1002;20;600;2133;4129;70;16520;;;0;6000000;0;;2000;;300;60060;507600;226600;0;0;50;0;;;;;0;0;0;;;;;;;;;0;;;;;0;70;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LKA;SRI LANKA;;81300;2316021;1355308;770265;415007;826905;406000;333002;145000;1234306;695000;500000;1000160;775113;380936;364485;6695;10000;120000;728150;330130;655950;297151;440000;501000;806000;2200000;64485;8000;575000;1250000;2130000;20000;0;0;1007000;250728;;;0;;;;;1000000;;247000;352347;;380000;;;;;;;250000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHN;ST HELENA;;;;;;;;;;;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KNA;ST KITTS AND NEVIS;;;;;;;;;;;;;;;;1180;10000;;;1800;;;;;0;1300;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LCA;ST LUCIA;;170000;;;3000;;;0;;;0;;;;;200;;;175;;750;;;;;;0;0;0;;;3000;;;80000;;;;;;;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VCT;ST VINCENT AND THE GRENADINES;;13091;;275;6100;;;;;530;1004;;0;;;100;;;;;;;200;;;;;1208;152;;;;;;20500;20000;;0;;;;;;2000;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
SDN;SUDAN;;401013;3335813;30;316362;4411455;93003;572974;195769;168234;8114;325234;101281;97000;2002363;284800;1022403;100000;282200;;5965;2015;;8600000;608000;;2538805;3450000;0;;;8532000;;;0;;100000;;299;145000;;;;;;;;;0;2300;;;;;;;;;;;;;;;72162;;;;;;;;;;15000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUR;SURINAME;;;;;;;6548;;25000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWZ;SWAZILAND;;;;;;;2500;411500;6535;1150;;;;970000;273449;;;;0;;;;2228;;250000;;;;;;632500;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWE;SWEDEN;;0;;;;;;;;0;;0;350;;;0;;;;;;;;;0;;;;;0;;;;;;;;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHE;SWITZERLAND;;84;0;3;0;0;;101;3000;2500;;8;283;0;1500;0;0;0;;;0;0;;;0;;2000;0;0;0;0;140;0;;;;;0;0;0;;;;;48;;22;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SYR;SYRIAN ARAB REP;;;;;;;1300000;;0;;180;;23;172;;329000;;;;;;;;;;;;;;;;;;;;;;4165;;;205000;;;;;;;40000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHN;TAIWAN (CHINA);;1670;35000;;196;2307523;88;2879;1142;4339;8873;309;500;652339;2102;108918;650300;78;0;;588;;0;4;20000;0;;2200;180;;15;0;;0;;;;37528;;;;;;;;40408;;167;5021;166;62485;;0;0;0;0;0;;;;;0;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;0;;;;;;
TJK;TAJIKISTAN;2600;2500;8087;2130;16918;15000;2800000;24312;29155;7065;400180;8192;5801;3185;3006000;11092;41890;15618;187516;0;6051;75357;63500;;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TZA;TANZANIA UNI REP;30000;;0;1065976;;51205;10134;284;3722938;16124;254000;1902000;3349;1565;3506;529;45277;52482;3000000;21850;9500;201823;;801733;162868;141056;116500;500;6000;118;1900000;0;40000;;0;90000;9000;26050;;;68000;;;;;;57000;53483;;;14400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;0;;;;;;;0;
THA;THAILAND;1000000;3515254;235545;11253854;15454135;200000;11573157;183000;2557308;822810;583175;112711;8354124;470529;3366966;6283762;;50394;5343386;4280984;196257;1103261;386446;4410812;0;199000;1114819;0;27801;7640;786171;1000000;;43000;630000;;2028400;2800;;3000093;;;;;;;;;205200;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TLS;TIMOR-LESTE;197;;;;;;;947;8730;336;;1050;;2508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TGO;TOGO;;168;;;111786;0;45500;141331;2000;;;790;494;1567;;65000;34074;;2619;185000;11500;;;;;400000;1617;;;;;0;;;;;;;;;;;;150000;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TKL;TOKELAU;;;;;;;;;;26;;;;;;;;;;;;;;;102;;;1730;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;
TON;TONGA;4014;;;0;;507;;;;;0;;;16500;;;3571;3000;;;;;;;3103;;;;;;;;146514;;;;;15510;;;;900;;;;;;;;;;;;8000;;;;;;;;;;;;;;;2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TTO;TRINIDAD AND TOBAGO;;;;;0;;;;;0;1760;;;;;;;217;200;;;10;;;1000;;;;;;;;;;;;;;;;50000;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUN;TUNISIA;;;;;;8;;6500;;;;27000;;;;;;;;;;;;;152000;;0;;2500;;;;30000;;;750;;31400;;;;44240;;;;271269;;;;;21000;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUR;TURKEY;;0;0;43167;3806;35137;300;3186;63245;6203;88652;290932;255327;3731;25730;1584792;2832353;;26506;479104;8000;0;349919;503;4500;;2120;150;21103;744;750273;834137;;0;60000;;2645;100000;216034;53372;0;;0;88665;83448;350;1975;326073;109500;100000;30600;;267;;;;;219;0;;;50000;250;150;;355;0;;0;;0;5000;0;;0;68;800;;;;;;;;;;209;;;;;;;;;;;;;;;;1575;;;;;;;;;0;;;
TKM;TURKMENISTAN;;;;;;;;;;;;;;;0;;;;;;;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCA;TURKS AND CAICOS IS;;;;;;;1500;;;;200;;;;;;;;;;;;;;0;;;;;770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUV;TUVALU;;;;0;;;;;;;;;;;;;;;;;;150;;;700;;;0;;;0;;;;;;;;;;;;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UGA;UGANDA;;26446;24412;732122;12985;544;1130428;726982;11382;600726;30053;2442;655960;4175;10728;702205;141800;253800;0;;50000;;0;0;1170;961;2000;600000;340;;;;153;;;500000;;;;;;;;;;;;25000;5510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
UKR;UKRAINE;;2260;88026;;40059;0;224725;7552;64600;8340;;600;;300000;48110;;24570;102;10000;1705336;1333;325000;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GBR;UNITED KINGDOM;18000;4800;3785;;0;4127;3300;374701;;3000;1008;4;750;270;21544;530;253300;0;12000;0;700;600;;0;0;0;;0;0;144;16;12;;0;;;;0;0;;;;0;;;;700;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;UNITED STATES;400;214574;93151;431398;12571;11323;13391218;668118;83537;850004;5100821;274891;174846;204727;88298;3059989;231842;197266;247296;201460;64602;450630;296439;3400;14218;29172;0;5494;2259;1026050;20157;7553;51500;0;120072;2160;0;2700;0;200;0;246;3000;1000;0;0;458;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;0;0;0;;0;0;;;;0;0;0;0;;;;;0;0;0;;;0;;0;;;0;0;;;0;;;0;;;0
URY;URUGUAY;;;;;0;22000;;120000;;12;2000;200;4000;5000;5500;1000;9300;500;;;;2000;4700;1500;;;;;18500;;;;;;;;;;;;;;;;;;;38063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UZB;UZBEKISTAN;;;;86;;;;;;1500;;;;;600000;0;148;;;;;;50400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VUT;VANUATU;20000;;;0;;1350;9000;;0;5000;54008;;4004;5300;;14100;2400;0;;;0;12005;1160;;2;;9700;48000;;117500;;;;0;;0;;0;;0;;;0;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VEN;VENEZUELA;;;11000;3786;94800;0;1500;;135;45797;5730;650;55376;;27004;543503;;22183;51500;32280;518;5900;0;967;9506;2000;5480;17029;1000;15000;;;;4000;186;;;;;;;;;0;;;;104536;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VNM;VIET NAM;;4129209;356512;1361647;1524433;3717461;789153;1647602;3349410;870136;535974;421907;2733616;1809090;5039580;7183281;2565742;4081177;1051797;423051;394034;53757;227056;773219;512308;6417359;1320000;937011;2502502;3250257;689799;1181868;1300290;;16279884;;4079000;1000;;;;150000;;50000;204000;;;;195902;;710848;;;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VGB;VIRGIN IS (UK);;;;;;;;;;;;;;;;;;;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIR;VIRGIN IS (US);;;;;;;;;;;0;;;;;0;0;;;10000;;;;;;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WLF;WALLIS AND FUTUNA IS;;;1252;;;;;;;;;;;;;;;;;;;;;;;;;;4500;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YEM;YEMEN;;49092;;;1002;0;25064;2633;2320;911;;0;700;0;289;19750;3240;;243210;;;21500;;70039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZMB;ZAMBIA;;1800;153;1375;1350;620012;23312;1553636;105;1211615;196398;14835;;618325;13224;13083;1300000;;;1273204;;;11659;1713154;667;800000;;;0;;;0;0;;;0;30900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZWE;ZIMBABWE;1002;2209700;;1140;1668696;1346;98349;2127000;;1183;;18750;452;6030000;268812;462;55377;;500000;;;;5649;5000000;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
